SUBSEKTOR,ASET,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4
PERTANIAN,TAMBAK,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
PERDAGANGAN,PASAR TRADISIONAL,1760000000,1760000000,1760000000,1760000000,7040000000,7040000000,7040000000,7040000000,14080000000,14080000000,14080000000,14080000000,26400000000,26400000000,26400000000,26400000000
PERDAGANGAN,MAL,20500000000,20500000000,20500000000,20500000000,82000000000,82000000000,82000000000,82000000000,164000000000,164000000000,164000000000,164000000000,307500000000,307500000000,307500000000,307500000000
PERDAGANGAN,RESTORAN,17000000,17000000,17000000,17000000,68000000,68000000,68000000,68000000,136000000,136000000,136000000,136000000,255000000,255000000,255000000,255000000
PERDAGANGAN,RUKO,33000000,33000000,33000000,33000000,132000000,132000000,132000000,132000000,264000000,264000000,264000000,264000000,495000000,495000000,495000000,495000000
PERDAGANGAN,UKM + MIKRO,12000000,12000000,12000000,12000000,48000000,48000000,48000000,48000000,96000000,96000000,96000000,96000000,180000000,180000000,180000000,180000000
PERDAGANGAN,MINIMARKET,33000000,33000000,33000000,33000000,132000000,132000000,132000000,132000000,264000000,264000000,264000000,264000000,495000000,495000000,495000000,495000000
INDUSTRI,PABRIK,1510000000,1510000000,1510000000,1510000000,6040000000,6040000000,6040000000,6040000000,12080000000,12080000000,12080000000,12080000000,21140000000,21140000000,21140000000,21140000000
INDUSTRI,PERKANTORAN,58000000,58000000,58000000,58000000,232000000,232000000,232000000,232000000,464000000,464000000,464000000,464000000,812000000,812000000,812000000,812000000
INDUSTRI,PABRIK KECIL,21000000,21000000,21000000,21000000,84000000,84000000,84000000,84000000,168000000,168000000,168000000,168000000,294000000,294000000,294000000,294000000
INDUSTRI,USAHA MIKRO,3500000,3500000,3500000,3500000,14000000,14000000,14000000,14000000,28000000,28000000,28000000,28000000,49000000,49000000,49000000,49000000
PARIWISATA,HOTEL,58058858,58058858,58058858,58058858,232235432,232235432,232235432,232235432,464470864,464470864,464470864,464470864,812824012,812824012,812824012,812824012
PARIWISATA,OBJEK WISATA,576101887,576101887,576101887,576101887,2304407548,2304407548,2304407548,2304407548,4608815096,4608815096,4608815096,4608815096,8065426418,8065426418,8065426418,8065426418
PERUMAHAN,RUMAH TERATUR,500000,700000,1000000,0,1000000,1200000,1500000,1000000,2000000,2300000,3000000,1200000,2500000,3000000,5000000,2000000
PERUMAHAN,RUMAH TIDAK TERATUR,100000,200000,250000,100000,200000,250000,300000,200000,250000,300000,500000,250000,400000,500000,600000,400000
KESEHATAN,APOTIK,50000000,200000000,300000000,25000000,75000000,400000000,600000000,75000000,100000000,600000000,800000000,100000000,200000000,800000000,1000000000,200000000
KESEHATAN,RUMAH SAKIT,150000000,300000000,500000000,100000000,300000000,700000000,1000000000,200000000,500000000,1000000000,1300000000,400000000,750000000,1250000000,1500000000,600000000
KESEHATAN,PUSKESMAS,20000000,100000000,200000000,25000000,40000000,200000000,350000000,50000000,80000000,400000000,600000000,80000000,120000000,600000000,800000000,120000000
PENDIDIKAN,SEKOLAH,2250000,8550000,10350000,2700000,2700000,10260000,12420000,3240000,3375000,12825000,15525000,4050000,3375000,12825000,15525000,4050000
PENDIDIKAN,UNIVERSITAS,4500000,17100000,20700000,5400000,5400000,20520000,24840000,6480000,6750000,25650000,31050000,8100000,6750000,25650000,31050000,8100000
PENDIDIKAN,FASILITAS OLAHRAGA,4500000,17100000,20700000,5400000,5400000,20520000,24840000,6480000,6750000,25650000,31050000,8100000,6750000,25650000,31050000,8100000
TRANSPORTASI,JALAN,401639517.5,401639517.5,401639517.5,401639517.5,401639517.5,401639517.5,401639517.5,401639517.5,401639517.5,401639517.5,401639517.5,401639517.5,401639517.5,401639517.5,401639517.5,401639517.5
TRANSPORTASI,TERMINAL,250000000,250000000,250000000,250000000,250000000,250000000,250000000,250000000,250000000,250000000,250000000,250000000,250000000,250000000,250000000,250000000
TRANSPORTASI,KENDARAAN,6330000,6330000,6330000,6330000,6330000,6330000,6330000,6330000,6330000,6330000,6330000,6330000,6330000,6330000,6330000,6330000
TRANSPORTASI,KERETA API,3735833333,3735833333,3735833333,3735833333,3735833333,3735833333,3735833333,3735833333,3735833333,3735833333,3735833333,3735833333,3735833333,3735833333,3735833333,3735833333
